domain_cluster,tool_family,representative_endpoints,scope_level,likely_grain,key_fields_and_join_paths,analytical_value,inclusion_recommendation,notes,source_url
Project Management,Workflow,workflow templates / managers / instances / responses / legacy activity,company/project,workflow instance and step activity,"workflow_instance_id, template_id, tool, current step",Approval bottleneck and SLA analytics,recommended,"Prefer new workflow surfaces, retain legacy only if in use",https://developers.procore.com/reference/rest/workflow-templates
Project Management,Schedule and Tasks,schedule metadata / tasks / lookahead/calendar style resources,project,task / calendar item / metadata row,"task_id, project_id, imported flag, dates",Basic production/schedule analytics,recommended,Useful but mixed maturity; treat cautiously,https://developers.procore.com/reference/rest/tasks?version=latest
Documents,Documents / Folders / Files,company folders/files / project folders/files / documents beta / project documents,company/project,folder/file metadata row,"folder_id, file_id, parent, updated_at","Document volume, activity, and metadata analytics",core,Store metadata and deep links; keep binaries external,https://developers.procore.com/reference/rest/project-folders-and-files
Documents,Secure File Access / Direct Uploads,secure file access / direct file uploads,company/project,upload instruction / access event context,"upload id, storage instructions, secure URL",Supports ingestion architecture rather than analytics,recommended,"Important integration plumbing, not a reporting fact",https://procore.github.io/documentation/secure-file-access-tips
Documents,Drawings,drawings / drawing areas / sets / uploads / revisions / tiles / disciplines,project,"drawing, revision, upload","drawing_id, revision_id, drawing_area_id, set_id","Document control, revision churn, coordination context",core,Separate drawing master from revision facts,https://procore.github.io/documentation/tutorial-drawings
Documents,Document Markup,document markup,project/document,markup job or artifact,"document id, downloadable PDF artifact",Operational extension around marked-up documents,optional,Better as attachment/document extension than analytical core,https://developers.procore.com/reference/rest/document-markup
Documents,Specifications,specification sets / sections / divisions / revisions / uploads,project,spec section or revision,"spec_set_id, section_id, revision_id",Design package maturity and issue-date tracking,recommended,Useful for design coordination and document completeness,https://developers.procore.com/reference/rest/specification-sets?version=latest
Documents,Email Communications,email communications,project,email message,"email_id, sender, recipients, thread context",Communication trace and evidence,optional,Usually secondary except for audit/comms analysis,https://developers.procore.com/reference/rest/email-communications?version=latest
Quality/Safety,Observations,observations / types / assignees / templates,project,observation item,"observation_id, type, status, assignee, due dates",Quality/safety issue burden and closure analytics,core,Very high-value operational fact,https://developers.procore.com/reference/rest/observations
Quality/Safety,Inspections / Checklists,checklists / checklist items / comments / attachments / schedules / templates / references,project,inspection header and item,"inspection_id, item_id, template_id, counts",Field quality and compliance analytics,core,"Separate inspection header, item, and comment/attachment bridges",https://developers.procore.com/reference/rest/checklists
Quality/Safety,Incidents,incidents / incident config / incident attachments,project,incident event,"incident_id, type, status, affected parties, dates",Safety/risk analytics,core,Keep medical/body-part details in extensions if volume is low,https://developers.procore.com/reference/rest/incidents
Quality/Safety,Action Plans,action plans / items / receivers / verification methods / change history,project,plan and plan item,"action_plan_id, item_id, responsible user",Preventive/compliance workflow analytics,recommended,Useful if company uses Action Plans systematically,https://developers.procore.com/reference/rest/action-plans
Quality/Safety,Punch List,punch items / assignments / managers / templates,project,punch item,"punch_item_id, assignee, status, due date",Closeout and deficiency analytics,core,High-value project closeout fact,https://developers.procore.com/reference/rest/punch-items
Quality/Safety,Coordination Issues,coordination issues / statuses / activity feed / change history / sync,project,coordination issue and activity,"coordination_issue_id, status, viewpoint/attachment context",Design coordination and clash-resolution analytics,recommended,Strong optional domain for VDC-heavy teams,https://developers.procore.com/reference/rest/coordination-issues?version=1.0
Field Ops,Daily Logs,daily log headers / counts / DCR / weather / manpower / productivity / delivery / notes / equipment / accident,project/date,header plus segmented log event,"daily_log_header_id, project_id, log_date, segment type",Field execution and leading indicators,core,Model header and segment facts separately,https://developers.procore.com/reference/rest/daily-logs
Field Ops,Timesheets / Timecards,timesheets / timecards / timecard entries,company/project/date/person,labor time transaction,"timecard_entry_id, user_id, project_id, cost code, labor hours",Labor productivity and cost integration,core,Timecard entries are the main analytical fact,https://developers.procore.com/reference/rest/timecard-entries?version=latest
Field Ops,Actual Production,actual production quantities / task codes / timesheet-to-budget config,project/date/WBS,production quantity transaction,"project_id, wbs/task code, quantity",Earned production and labor efficiency analytics,recommended,Very valuable if field productivity product is active,https://developers.procore.com/reference/rest/actual-production-quantities?version=latest
Field Ops,Equipment,equipment / status / type / project association / maintenance / equipment timecard entries / gps positions / telematics,company/project/date/equipment,"equipment master, association, utilization event","equipment_id, project_id, status, hours, location",Equipment utilization and maintenance analytics,recommended,Useful for self-perform/equipment-heavy contractors,https://developers.procore.com/reference/rest/equipment-timecard-entries
