family,source_file,page,section,source_id,source_item_id,item_key,exact_item_text,details,response_options,lifecycle_phase,readiness_domain,default_responsible_role_suggestion,source_traceability_requirement
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.23,startup.2.23,startup.job-start-up.2.23,Verify need for any vibration monitoring,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.23"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.24,startup.2.24,startup.job-start-up.2.24,Write Subcontracts in Procore (Identify longest lead items & award first),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.24"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.25,startup.2.25,startup.job-start-up.2.25,"Confirm review of estimate, qualifications & Sub proposals after plan scope reviews",,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.25"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.26,startup.2.26,startup.job-start-up.2.26,Create buyout tracking log (verify any owner provided items and track),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.26"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.27,startup.2.27,startup.job-start-up.2.27,Prepare public relations announcements (when applicable),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.27"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.28,startup.2.28,startup.job-start-up.2.28,"Create, record and track the NTO. Insert date reminder in Outlook",,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.28"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.29,startup.2.29,startup.job-start-up.2.29,Mail Notice to Owner (Certified Mail/Return Receipt),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.29"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.30,startup.2.30,startup.job-start-up.2.30,Verify Owner’s purchase of Builder’s Risk Insurance,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.30"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.31,startup.2.31,startup.job-start-up.2.31,Provide Superintendent with Project Safety Plan and SDS Notebook,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.31"
startup,Project_Startup_Checklist(2).pdf,3,Job Start-up,2.32,startup.2.32,startup.job-start-up.2.32,Contact local Utilities and notify them of your project and services required,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Job Start-up', item 2.32"
startup,Project_Startup_Checklist(2).pdf,3,Job Start-up,2.33,startup.2.33,startup.job-start-up.2.33,Consider a community awareness program if warranted.,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Job Start-up', item 2.33"
startup,Project_Startup_Checklist(2).pdf,3,Order services and equipment,3.1,startup.3.1,startup.order-services-and-equipment.3.1,Telephone and/ or Internet (ordered/set up by the IT Department),,N/A / Yes / No,preconstruction,site-mobilization-readiness,Superintendent / Project Manager / IT as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Order services and equipment', item 3.1"
startup,Project_Startup_Checklist(2).pdf,3,Order services and equipment,3.2,startup.3.2,startup.order-services-and-equipment.3.2,Sanitary,,N/A / Yes / No,preconstruction,site-mobilization-readiness,Superintendent / Project Manager / IT as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Order services and equipment', item 3.2"
startup,Project_Startup_Checklist(2).pdf,3,Order services and equipment,3.3,startup.3.3,startup.order-services-and-equipment.3.3,Field Office (ordered through the Main Office),,N/A / Yes / No,preconstruction,site-mobilization-readiness,Superintendent / Project Manager / IT as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Order services and equipment', item 3.3"
startup,Project_Startup_Checklist(2).pdf,3,Order services and equipment,3.4,startup.3.4,startup.order-services-and-equipment.3.4,Job Office Trailer (Permit is required),,N/A / Yes / No,preconstruction,site-mobilization-readiness,Superintendent / Project Manager / IT as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Order services and equipment', item 3.4"
startup,Project_Startup_Checklist(2).pdf,3,Order services and equipment,3.5,startup.3.5,startup.order-services-and-equipment.3.5,Order/Re-stock First Aid Kit & Purchase/Recharge fire extinguishers,,N/A / Yes / No,preconstruction,site-mobilization-readiness,Superintendent / Project Manager / IT as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Order services and equipment', item 3.5"
startup,Project_Startup_Checklist(2).pdf,3,Order services and equipment,3.6,startup.3.6,startup.order-services-and-equipment.3.6,Other,,N/A / Yes / No,preconstruction,site-mobilization-readiness,Superintendent / Project Manager / IT as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Order services and equipment', item 3.6"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.1,startup.4.1,startup.permits-posted-on-jobsite.4.1,Master permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.1"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.2,startup.4.2,startup.permits-posted-on-jobsite.4.2,Roofing permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.2"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.3,startup.4.3,startup.permits-posted-on-jobsite.4.3,Plumbing permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.3"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.4,startup.4.4,startup.permits-posted-on-jobsite.4.4,HVAC permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.4"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.5,startup.4.5,startup.permits-posted-on-jobsite.4.5,Electric permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.5"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.6,startup.4.6,startup.permits-posted-on-jobsite.4.6,Fire Alarm permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.6"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.7,startup.4.7,startup.permits-posted-on-jobsite.4.7,Fire Sprinklers permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.7"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.8,startup.4.8,startup.permits-posted-on-jobsite.4.8,Elevator permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.8"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.9,startup.4.9,startup.permits-posted-on-jobsite.4.9,Irrigation permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.9"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.10,startup.4.10,startup.permits-posted-on-jobsite.4.10,Low Voltage permit,,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.10"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.11,startup.4.11,startup.permits-posted-on-jobsite.4.11,"Site-Utilities- Drainage, Water & Sewer permits",,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.11"
startup,Project_Startup_Checklist(2).pdf,3,Permits posted on Jobsite,4.12,startup.4.12,startup.permits-posted-on-jobsite.4.12,"Any Right of way, FDOT, MOT plans, etc.",,N/A / Yes / No,preconstruction,permit-readiness,Superintendent / Project Manager,"Project_Startup_Checklist(2).pdf page 3, section 'Permits posted on Jobsite', item 4.12"
safety,Project_Safety_Checklist(1).pdf,1,Areas of Highest Risk,1.1,safety.1.1,safety.areas-of-highest-risk.1.1,Fall Exposures,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 1, section 'Areas of Highest Risk', item 1.1"
safety,Project_Safety_Checklist(1).pdf,1,Areas of Highest Risk,1.2,safety.1.2,safety.areas-of-highest-risk.1.2,Electrical Shocks,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 1, section 'Areas of Highest Risk', item 1.2"
safety,Project_Safety_Checklist(1).pdf,1,Areas of Highest Risk,1.3,safety.1.3,safety.areas-of-highest-risk.1.3,Struck by Risks,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 1, section 'Areas of Highest Risk', item 1.3"
safety,Project_Safety_Checklist(1).pdf,1,Areas of Highest Risk,1.4,safety.1.4,safety.areas-of-highest-risk.1.4,Crushed by Risks,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 1, section 'Areas of Highest Risk', item 1.4"
safety,Project_Safety_Checklist(1).pdf,1,Other Risks (These caused most injuries),2.1,safety.2.1,safety.other-risks-these-caused-most-injuries.2.1,Blasting/Explosives,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 1, section 'Other Risks (These caused most injuries)', item 2.1"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.2,safety.2.2,safety.other-risks-these-caused-most-injuries.2.2,Concrete Construction,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.2"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.3,safety.2.3,safety.other-risks-these-caused-most-injuries.2.3,Cranes & Elevators,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.3"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.4,safety.2.4,safety.other-risks-these-caused-most-injuries.2.4,Demolition,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.4"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.5,safety.2.5,safety.other-risks-these-caused-most-injuries.2.5,Electrical,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.5"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.6,safety.2.6,safety.other-risks-these-caused-most-injuries.2.6,Excavation,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.6"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.7,safety.2.7,safety.other-risks-these-caused-most-injuries.2.7,Fire Protection,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.7"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.8,safety.2.8,safety.other-risks-these-caused-most-injuries.2.8,First Aid,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.8"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.9,safety.2.9,safety.other-risks-these-caused-most-injuries.2.9,Flammables,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.9"
safety,Project_Safety_Checklist(1).pdf,1,Other Risks (These caused most injuries),2.10,safety.2.10,safety.other-risks-these-caused-most-injuries.2.10,Floor & Wall Openings,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 1, section 'Other Risks (These caused most injuries)', item 2.10"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.11,safety.2.11,safety.other-risks-these-caused-most-injuries.2.11,"Gases, Fumes, Dusts",,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.11"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.12,safety.2.12,safety.other-risks-these-caused-most-injuries.2.12,General Safety,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.12"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.13,safety.2.13,safety.other-risks-these-caused-most-injuries.2.13,Hazard Communication,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.13"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.14,safety.2.14,safety.other-risks-these-caused-most-injuries.2.14,Housekeeping,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.14"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.15,safety.2.15,safety.other-risks-these-caused-most-injuries.2.15,Illumination,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.15"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.16,safety.2.16,safety.other-risks-these-caused-most-injuries.2.16,Lockout/tagout,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.16"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.17,safety.2.17,safety.other-risks-these-caused-most-injuries.2.17,Maintenance,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.17"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.18,safety.2.18,safety.other-risks-these-caused-most-injuries.2.18,Motor Vehicles,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.18"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.19,safety.2.19,safety.other-risks-these-caused-most-injuries.2.19,Noise Exposure,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.19"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.20,safety.2.20,safety.other-risks-these-caused-most-injuries.2.20,Personal Protection,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.20"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.21,safety.2.21,safety.other-risks-these-caused-most-injuries.2.21,Safety Training,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.21"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.22,safety.2.22,safety.other-risks-these-caused-most-injuries.2.22,Sanitation,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.22"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.23,safety.2.23,safety.other-risks-these-caused-most-injuries.2.23,Scaffolding,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.23"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.24,safety.2.24,safety.other-risks-these-caused-most-injuries.2.24,"Signs, Signals, Barricades",,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.24"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.25,safety.2.25,safety.other-risks-these-caused-most-injuries.2.25,Stairways & Ladders,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.25"
safety,Project_Safety_Checklist(1).pdf,2,Other Risks (These caused most injuries),2.26,safety.2.26,safety.other-risks-these-caused-most-injuries.2.26,Steel Erection,,Pass / Fail / N/A,active_construction,safety-leading-indicators,Superintendent / Safety / QAQC,"Project_Safety_Checklist(1).pdf page 2, section 'Other Risks (These caused most injuries)', item 2.26"
